fold,technique,F1,th
1,baseline,0.6823393668421432,0.25
1,class_weights,0.6641174293820156,0.89
1,downsample,0.6758629971065204,0.79
1,upsample,0.6745953088866865,0.7200000000000001
1,smote,0.6706192358366272,0.4
2,baseline,0.6787681875971182,0.24
2,class_weights,0.6588249937764501,0.89
2,downsample,0.6689093026264717,0.76
2,upsample,0.6699136307552438,0.7300000000000001
2,smote,0.6702503890224926,0.36
3,baseline,0.6757352941176471,0.25
3,class_weights,0.664319098533837,0.89
3,downsample,0.6656967131803452,0.77
3,upsample,0.6752483010977522,0.7200000000000001
3,smote,0.6661670527319798,0.33999999999999997
4,baseline,0.6755741730463671,0.26
4,class_weights,0.6578773102161218,0.89
4,downsample,0.6721163748712667,0.7300000000000001
4,upsample,0.6730340655842089,0.68
4,smote,0.6698951933501988,0.42
5,baseline,0.6747376916868443,0.26
5,class_weights,0.6615819904047239,0.89
5,downsample,0.6761408083441982,0.76
5,upsample,0.6845277086335648,0.7200000000000001
5,smote,0.666715031921068,0.37
