fold,technique,F1,th
1,baseline,0.6938603277305014,0.36
1,class_weights,0.681050894783602,0.6
1,downsample,0.6814429061348914,0.6
1,upsample,0.6800076234038498,0.6
1,smote,0.6839893995216857,0.6
2,baseline,0.6923694779116466,0.39
2,class_weights,0.6735290379972042,0.6
2,downsample,0.6718898085550009,0.6
2,upsample,0.6729019532989756,0.6
2,smote,0.679338306843983,0.6
3,baseline,0.6876887421869514,0.36
3,class_weights,0.676983573285977,0.6
3,downsample,0.6766774377494773,0.6
3,upsample,0.6765879298334494,0.6
3,smote,0.6791599353796446,0.6
4,baseline,0.7068598503055689,0.33
4,class_weights,0.6892749535226618,0.6
4,downsample,0.6892256324643636,0.6
4,upsample,0.6871472550025655,0.6
4,smote,0.6975191464292728,0.6
5,baseline,0.7028239086258846,0.36
5,class_weights,0.6880121974461597,0.6
5,downsample,0.687607299548547,0.6
5,upsample,0.6896595528455284,0.6
5,smote,0.6894502228826153,0.6
