fold,technique,F1,th
1,baseline,0.6744900047758751,0.35
1,class_weights,0.6858978836348397,0.6100000000000001
1,downsample,0.6840772625334587,0.63
1,upsample,0.6860457273892223,0.5900000000000001
1,smote,0.6793835095721888,0.5900000000000001
2,baseline,0.6750344405326802,0.39
2,class_weights,0.6880638958733916,0.63
2,downsample,0.6878031125588129,0.6200000000000001
2,upsample,0.6884277379809468,0.63
2,smote,0.6788794639674959,0.6000000000000001
3,baseline,0.6718436202972285,0.33999999999999997
3,class_weights,0.6830122591943958,0.5900000000000001
3,downsample,0.6825806451612904,0.6200000000000001
3,upsample,0.6820476858345021,0.6100000000000001
3,smote,0.6722517368205967,0.5800000000000001
4,baseline,0.6709106006089123,0.35
4,class_weights,0.6822098327420172,0.6200000000000001
4,downsample,0.6808179438194297,0.6100000000000001
4,upsample,0.6818576388888888,0.6200000000000001
4,smote,0.6717728901693486,0.5900000000000001
5,baseline,0.6752941176470588,0.37
5,class_weights,0.6877470355731226,0.6200000000000001
5,downsample,0.6863591607967886,0.64
5,upsample,0.6874725274725275,0.6200000000000001
5,smote,0.6772868875672614,0.5900000000000001
