subset,n_vars,fold,F1,th
top20,20,1,0.6248531523299831,0.32
top20,20,2,0.6299297676931388,0.33
top20,20,3,0.6238881829733164,0.31
top20,20,4,0.6253233492171545,0.33
top20,20,5,0.6222770242498973,0.33
top40,40,1,0.6592659404704087,0.35
top40,40,2,0.6649442681036392,0.37
top40,40,3,0.6621593364466439,0.35
top40,40,4,0.6575112107623319,0.35
top40,40,5,0.6590392170377007,0.33999999999999997
top60,60,1,0.6657669208448613,0.33999999999999997
top60,60,2,0.6651740280887442,0.33999999999999997
top60,60,3,0.6656013339817967,0.35
top60,60,4,0.6622191967324711,0.33999999999999997
top60,60,5,0.6653507225942897,0.35
all,81,1,0.6744900047758751,0.35
all,81,2,0.6750344405326802,0.39
all,81,3,0.6718436202972285,0.33999999999999997
all,81,4,0.6709106006089123,0.35
all,81,5,0.6752941176470588,0.37
