fold,technique,F1,th
1,baseline,0.662200956937799,0.33999999999999997
1,class_weights,0.6715050216259805,0.64
1,downsample,0.6712243629583592,0.6100000000000001
1,upsample,0.6716004979941901,0.6100000000000001
1,smote,0.6718213058419243,0.6200000000000001
2,baseline,0.6549824737105658,0.36
2,class_weights,0.6663896967179062,0.6100000000000001
2,downsample,0.6659279778393352,0.6100000000000001
2,upsample,0.6669019552481118,0.6200000000000001
2,smote,0.6654466108256494,0.6100000000000001
3,baseline,0.6622632607670014,0.33999999999999997
3,class_weights,0.6748097717260713,0.6000000000000001
3,downsample,0.6740885054272195,0.6200000000000001
3,upsample,0.6751651872121738,0.6000000000000001
3,smote,0.6744073536526367,0.6100000000000001
4,baseline,0.6516317325550544,0.33
4,class_weights,0.6686305405220251,0.6100000000000001
4,downsample,0.6670766707667076,0.6100000000000001
4,upsample,0.6683572064971558,0.6100000000000001
4,smote,0.665891048453326,0.6000000000000001
5,baseline,0.6636914673949244,0.33999999999999997
5,class_weights,0.6758315450643777,0.6100000000000001
5,downsample,0.6751505199781062,0.6200000000000001
5,upsample,0.6761682883376731,0.6200000000000001
5,smote,0.6747989641542865,0.6100000000000001
