fold,technique,F1,th
1,baseline,0.6745930644019816,0.36
1,class_weights,0.68662314210306985,0.6100000000000001
1,downsample,0.6870531606144262,0.6200000000000001
1,upsample,0.6870661566794164,0.6200000000000001
1,smote,0.6756718728014633,0.5900000000000001
2,baseline,0.663499389167911,0.33999999999999997
2,class_weights,0.6782323611775152,0.6000000000000001
2,downsample,0.6772855039486012,0.5900000000000001
2,upsample,0.6777853725222146,0.6000000000000001
2,smote,0.6671359189132118,0.5900000000000001
3,baseline,0.6718357082984073,0.36
3,class_weights,0.684931506849315,0.63
3,downsample,0.6847168774051676,0.6100000000000001
3,upsample,0.6845997679814385,0.64
3,smote,0.6754567967338196,0.5700000000000001
4,baseline,0.6652340339802565,0.33999999999999997
4,class_weights,0.6780159730979403,0.6200000000000001
4,downsample,0.6776990798967366,0.5900000000000001
4,upsample,0.6784053156146179,0.5900000000000001
4,smote,0.6659484209817521,0.5700000000000001
5,baseline,0.6734491642993988,0.33999999999999997
5,class_weights,0.6856611542804012,0.6000000000000001
5,downsample,0.6848171701112877,0.6000000000000001
5,upsample,0.685372340425532,0.6000000000000001
5,smote,0.672911051212938,0.5800000000000001
