subset,n_vars,fold,F1,th
top20,20,1,0.6159669166608257,0.33
top20,20,2,0.609674262547183,0.33
top20,20,3,0.6188329085800169,0.31
top20,20,4,0.6170818505338078,0.33999999999999997
top20,20,5,0.6227313682584631,0.31
top40,40,1,0.6494620817107781,0.32
top40,40,2,0.6435953222735926,0.33
top40,40,3,0.6471768798501472,0.33
top40,40,4,0.644055845437879,0.35
top40,40,5,0.6551842921116087,0.35
top60,60,1,0.664940880151123,0.35
top60,60,2,0.6599972591475949,0.33999999999999997
top60,60,3,0.6652125057835945,0.33
top60,60,4,0.6596267516769608,0.33
top60,60,5,0.6696052895211381,0.33999999999999997
all,98,1,0.6745930644019816,0.36
all,98,2,0.663499389167911,0.33999999999999997
all,98,3,0.6718357082984073,0.36
all,98,4,0.6652340339802565,0.33999999999999997
all,98,5,0.6734491642993988,0.33999999999999997
