subset,n_vars,fold,F1,th
top20,20,1,0.6238630283574104,0.32
top20,20,2,0.6184471521677529,0.33999999999999997
top20,20,3,0.6274509803921569,0.33
top20,20,4,0.6252980217797538,0.31
top20,20,5,0.6313322047141555,0.32
top40,40,1,0.6499967356531958,0.32
top40,40,2,0.6434712520150456,0.33
top40,40,3,0.6537654780431693,0.33999999999999997
top40,40,4,0.644848980704984,0.33999999999999997
top40,40,5,0.6556135770234987,0.33
top60,60,1,0.6566079144091627,0.33999999999999997
top60,60,2,0.6504275346698283,0.36
top60,60,3,0.6575547395620835,0.33999999999999997
top60,60,4,0.6504874224555185,0.33999999999999997
top60,60,5,0.6588928922371438,0.33
all,82,1,0.662200956937799,0.33999999999999997
all,82,2,0.6549824737105658,0.36
all,82,3,0.6622632607670014,0.33999999999999997
all,82,4,0.6516317325550544,0.33
all,82,5,0.6636914673949244,0.33999999999999997
