fold,technique,F1,th
1,baseline,0.6191204355006422,0.95
1,class_weights,0.6191204355006422,0.95
1,downsample,0.6047873838355393,0.95
1,upsample,0.6067198177676537,0.95
1,smote,0.6051060442372207,0.95
2,baseline,0.6177675988428158,0.95
2,class_weights,0.6177675988428158,0.95
2,downsample,0.5961768219832736,0.95
2,upsample,0.5967829583740898,0.95
2,smote,0.6010432441527848,0.95
3,baseline,0.6161374890766094,0.95
3,class_weights,0.6161374890766094,0.95
3,downsample,0.5906209064710506,0.95
3,upsample,0.595917061990299,0.95
3,smote,0.6013924675182282,0.95
4,baseline,0.6216380674212,0.95
4,class_weights,0.6216380674212,0.95
4,downsample,0.6101354741595585,0.95
4,upsample,0.6079231957625248,0.95
4,smote,0.6093299406276506,0.95
5,baseline,0.6182213892751345,0.95
5,class_weights,0.6182213892751345,0.95
5,downsample,0.6066969353007946,0.95
5,upsample,0.6065248226950355,0.95
5,smote,0.6023675310033821,0.95
