fold,n_top,F1,th
1,20,0.6686829804784162,0.35
1,40,0.7045600056911148,0.37
1,60,0.7130968024529128,0.39
1,80,0.7191400331866388,0.38
1,110,0.7212578258394992,0.37
2,20,0.6640851887705711,0.36
2,40,0.6934966877982762,0.38
2,60,0.7058907026259759,0.37
2,80,0.7092455724445684,0.36
2,110,0.7102949517867272,0.37
3,20,0.6696663436245327,0.37
3,40,0.7055729314756896,0.39
3,60,0.7137367915465899,0.36
3,80,0.7221430607010544,0.39
3,110,0.722257406234607,0.38
4,20,0.6701038110499548,0.37
4,40,0.7028245403958583,0.37
4,60,0.7131528184610988,0.38
4,80,0.7164904258359531,0.38
4,110,0.720098643649815,0.39
5,20,0.6704084392750879,0.36
5,40,0.7040100076447287,0.38
5,60,0.7141896435776731,0.35
5,80,0.7172995780590717,0.36
5,110,0.7174800969193492,0.37
