variable,importancia,rank
horas_prom,0.047326521005186445,1
arriendo_estimado,0.024108921354264304,2
tasa_empleo_total,0.02330389569344625,3
subsidiado_x_menores,0.021183333420319514,4
indice_formalidad,0.018032160515545705,5
menores_por_ocupado,0.017600298718378447,6
prop_contributivo,0.0157587586455049,7
edad_prom,0.012897783889837006,8
antiguedad_prom,0.011357748358087493,9
prop_cotiza_pension,0.009598171835407635,10
menores_x_desocup,0.00826137555245769,11
educ_x_ocup,0.00821705854615181,12
educ_x_formal,0.007821123660661167,13
prop_microempresa,0.007200702404948105,14
prop_subsidiado,0.007026486635246473,15
prop_menores,0.0056630655563672,16
cuartos_pc,0.005578468473230965,17
educ_prom_sq,0.0055640983612112475,18
nivel_educ_prom,0.005553009144108036,19
edad_jefe,0.00546807662865603,20
hacinamiento,0.005422024597632906,21
edad_jefe_sq,0.005405633786416831,22
hacinamiento_sq,0.005379341641518297,23
valor_alojamiento,0.005212374462392642,24
prop_asalariado,0.004304010719776574,25
tasa_ocup_sq,0.004134982252995433,26
hacinamiento_dorm,0.0038999624033140973,27
tasa_ocupacion,0.0038745804592073625,28
formal_estricto,0.003661017335066396,29
tipo_tenencia,0.003090506357903761,30
ciudad,0.0027636891431787516,31
prop_prima_serv,0.0026872072450635563,32
dpto,0.0026568295934104023,33
prop_cta_propia,0.002585203650921867,34
n_inactivos,0.002452274401045095,35
num_personas_ug,0.0022677339658650603,36
prop_gran_empresa,0.0020779471079188125,37
educ_x_rural,0.0020164274912655637,38
nivel_educ_max,0.0019669392198870834,39
alguno_transf_nac,0.0019370020060405083,40
dep_empleo_formal,0.0018792591231039802,41
num_personas,0.0018601881478387083,42
prop_sub_transp,0.0017778333747730168,43
log_num_personas,0.0017106785433232549,44
zona,0.0017042465518205645,45
n_privaciones,0.0016985921467192163,46
prop_mujeres,0.0016898039780970531,47
n_fuentes_no_lab,0.0016507846684598718,48
prop_informal,0.0016297797596784476,49
ratio_depend_sq,0.0015385452595201216,50
vivienda_propia_pag,0.0015263640547285343,51
n_menores_18,0.001482727766873803,52
ingresos_activos,0.001479128248914241,53
ratio_depend,0.0014694072804346677,54
tasa_desempleo,0.0013740819039716084,55
alguno_arriendos,0.001339216506494601,56
log_n_menores,0.0013019448237129038,57
educ_jefe_sq,0.0013001495832650326,58
nivel_educ_jefe,0.0012263474748662791,59
alguno_subsidio,0.0011375769667425048,60
depend_x_informal,0.0011297111647493756,61
prop_adultos_may_p,0.0010102176702089496,62
prop_afil_salud,0.0010045592377097101,63
num_cuartos,9.738994135860012e-4,64
n_ocupados,8.460559980804646e-4,65
num_cuartos_dorm,8.363154163347823e-4,66
prop_patron,8.325215862217646e-4,67
tenencia_insegura,7.119587798883768e-4,68
multi_privado,7.116899388328261e-4,69
rural_x_cta_propia,6.873271278528681e-4,70
brecha_educ,6.819176496233544e-4,71
hogar_monoparental,6.642364421860125e-4,72
educ_superior_jefe,6.216947371655709e-4,73
doble_ingreso,5.197605141685642e-4,74
prop_fam_sin_rem,4.88955314392349e-4,75
prop_subempleo,4.559124409082771e-4,76
region_pacifico,4.3265048434765565e-4,77
n_desempleados,4.3215044917675066e-4,78
vulnerabilidad_lab,4.310283538811584e-4,79
antiguedad_alta,4.271206271252141e-4,80
educ_media_o_mas,3.5302264742870606e-4,81
dep_educacion,3.4952982407961223e-4,82
mujer_jefa,3.3520586697656675e-4,83
prop_jornalero,3.186166850939124e-4,84
jefe_mayor_pension,3.1720351092966745e-4,85
prop_2do_empleo,3.029606576104101e-4,86
eje_cafetero,2.748890600624406e-4,87
costa_caribe,2.605316624029156e-4,88
n_adultos_may,2.5248796303983724e-4,89
arriendo_pagado,2.504277581468465e-4,90
un_solo_ocupado,2.3721497671657765e-4,91
alguno_cesantias,2.0451845869641142e-4,92
prop_pensionado,1.9316433634472885e-4,93
dep_dependencia,1.2316796868421908e-4,94
prop_domestico,1.0928120677922815e-4,95
alguno_remesas,7.40870692679659e-5,96
sin_ocupados,7.252622460893088e-5,97
prop_sub_alim,6.45796110395754e-5,98
alguno_pension_jub,5.8366200485631125e-5,99
alguno_agropec,4.738440663527059e-5,100
bogota,4.3933355471030094e-5,101
proteccion_social,4.2543243509400126e-5,102
rural_costa_caribe,4.1914085125242344e-5,103
dep_proteccion,3.8768151273389505e-5,104
privado_severo,3.1109927581172885e-5,105
dep_vivienda,3.388120476110294e-6,106
desprotegido,2.7453854505976594e-7,107
tiene_ingreso_no_lab,0,108
solo_subsidio,0,109
alguno_intereses,-9.413459094949802e-6,110
