fold,technique,F1,th
1,baseline,0.7219393243921681,0.37
1,class_weights,0.7188740526885601,0.52
1,downsample,0.7176300578034682,0.66
1,upsample,0.7188500676012239,0.44
1,smote,0.7185329258127258,0.37
2,baseline,0.7102240896358544,0.36
2,class_weights,0.7158760547401262,0.51
2,downsample,0.7126602333285323,0.66
2,upsample,0.7138930006343835,0.44
2,smote,0.7091108671789242,0.42
3,baseline,0.7234644777809227,0.38
3,class_weights,0.7189866446372023,0.5
3,downsample,0.715970715835141,0.6200000000000001
3,upsample,0.7196841511562324,0.45
3,smote,0.7213653241930877,0.41
4,baseline,0.7204308797127469,0.38
4,class_weights,0.7195797654169964,0.53
4,downsample,0.7109924093337082,0.65
4,upsample,0.7188455249875595,0.45
4,smote,0.715812274368231,0.41
5,baseline,0.7182051628598459,0.35
5,class_weights,0.7196479765317688,0.48
5,downsample,0.7142267473858007,0.65
5,upsample,0.7180722891566265,0.44
5,smote,0.7157378198387662,0.4
