fold,mtry,min_node_size,F1,th
1,20,1,0.7186828919112384,0.37
1,50,1,0.7206324774365074,0.36
1,80,1,0.7185017026106697,0.37
1,20,3,0.7167264895908112,0.37
1,50,3,0.7202393673861937,0.37
1,80,3,0.7217710055343923,0.38
1,20,10,0.7202586206896552,0.37
1,50,10,0.7203576139528067,0.39
1,80,10,0.7182087029995775,0.36
2,20,1,0.7102551346741525,0.37
2,50,1,0.7076274069538001,0.33999999999999997
2,80,1,0.7063966195541308,0.4
2,20,3,0.7078983368133055,0.38
2,50,3,0.7108215707564242,0.39
2,80,3,0.7091829356471439,0.39
2,20,10,0.7107352177461236,0.4
2,50,10,0.7100216294160058,0.38
2,80,10,0.7085394708539471,0.38
3,20,1,0.7182522903453136,0.38
3,50,1,0.721368012645495,0.4
3,80,1,0.720711743772242,0.39
3,20,3,0.719936822456745,0.39
3,50,3,0.7207454492921122,0.4
3,80,3,0.7209609109213359,0.37
3,20,10,0.721014750944203,0.38
3,50,10,0.7236096537250787,0.37
3,80,10,0.724588542770361,0.38
4,20,1,0.7162423701057019,0.41
4,50,1,0.7184054283290925,0.37
4,80,1,0.7160230424578622,0.38
4,20,3,0.7153560675022758,0.36
4,50,3,0.7201946472019465,0.38
4,80,3,0.7176190132196778,0.39
4,20,10,0.7182584269662922,0.36
4,50,10,0.7193358699411968,0.35
4,80,10,0.7181710130741802,0.36
5,20,1,0.713502538071066,0.35
5,50,1,0.7163807415605977,0.37
5,80,1,0.7179038124747407,0.35
5,20,3,0.7133128588596608,0.33999999999999997
5,50,3,0.7159727377015993,0.35
5,80,3,0.717117362577481,0.36
5,20,10,0.7171075591540448,0.37
5,50,10,0.7206269846631984,0.35
5,80,10,0.7186079545454546,0.39
