max_depth,eta,gamma,min_child_weight,colsample_bytree,subsample,lambda,alpha,best_nrounds,nrounds_sd,F1_OOF,Precision,Recall,AUC_ROC,Threshold
8,0.08,0,10,0.3,1,0.1,0,304,29.7,0.7381,0.696,0.7857,0.9429,0.36
5,0.1,0.5,1,1,0.8,1,2,365,53.4,0.7381,0.6924,0.7902,0.9429,0.36
8,0.15,0.5,15,0.5,1,0.5,1,143,18.9,0.7377,0.6943,0.7868,0.9425,0.36
6,0.05,0.05,10,0.8,0.6,1,0,489,24.9,0.7377,0.6975,0.7829,0.9429,0.37
8,0.03,1,10,1,0.9,0,0.5,499,0,0.7376,0.6984,0.7816,0.9429,0.37
4,0.15,0.5,1,1,1,0,2,370,6.8,0.7373,0.6913,0.7898,0.9423,0.36
6,0.08,0.3,5,0.3,0.6,2,0.05,403,46.8,0.7373,0.687,0.7957,0.9426,0.35
6,0.03,1,1,0.7,0.6,5,0.05,499,0,0.7369,0.7018,0.7756,0.9419,0.38
8,0.15,1,20,0.8,1,5,0,125,5.7,0.7368,0.6983,0.7796,0.9423,0.37
4,0.08,0.05,3,0.3,0.8,1,0,499,0,0.7365,0.6904,0.7892,0.9418,0.36
6,0.03,0,8,0.4,1,0,0.5,499,0,0.7364,0.6964,0.7813,0.9417,0.37
4,0.1,0.05,15,0.4,0.6,0.5,0.1,496,1.3,0.7363,0.697,0.7802,0.9421,0.37
4,0.08,0,20,0.5,0.8,2,0,498,2.1,0.7361,0.6961,0.7809,0.9418,0.37
6,0.03,0.3,1,0.8,0.7,0.1,0.1,499,0,0.7361,0.6961,0.781,0.942,0.37
3,0.2,0.05,8,0.3,1,0.1,1,493,16.3,0.736,0.7023,0.7732,0.9417,0.38
4,0.08,2,3,0.4,0.8,0.5,1,499,0.4,0.736,0.6847,0.7955,0.942,0.35
3,0.15,0.3,3,0.4,0.6,5,0.5,499,3.9,0.7358,0.691,0.7867,0.9413,0.36
5,0.05,0.1,10,0.3,0.6,0.1,1,499,0,0.7358,0.7081,0.7657,0.9418,0.39
6,0.03,0.5,5,0.3,0.6,5,0,499,0,0.7354,0.6897,0.7875,0.9411,0.36
10,0.1,0.5,15,0.7,0.8,0,0.5,151,21.3,0.7354,0.6829,0.7966,0.9423,0.33999999999999997
5,0.15,0,20,0.3,0.7,1,0,285,64.4,0.7354,0.7023,0.7717,0.9419,0.38
8,0.15,0.3,5,0.8,1,0.5,2,129,13,0.7346,0.6809,0.7976,0.9423,0.33999999999999997
3,0.1,0.05,10,0.5,0.8,1,0,499,0,0.7337,0.7,0.7709,0.9406,0.38
3,0.2,0.1,1,0.8,0.6,2,0.5,433,65.5,0.7334,0.693,0.7788,0.9412,0.37
4,0.03,0,8,1,0.5,5,1,499,0,0.7289,0.6929,0.7688,0.9384,0.38
4,0.03,0.3,15,0.5,0.5,0.5,0.1,499,0,0.7285,0.6874,0.7749,0.9383,0.37
3,0.05,0.05,10,0.7,1,2,2,499,0,0.7263,0.6866,0.7709,0.9374,0.37
3,0.03,0.5,1,1,0.5,0,0.05,499,0,0.7214,0.6759,0.7735,0.9351,0.36
3,0.03,2,15,0.7,0.6,1,0,499,0,0.7211,0.6756,0.7731,0.9348,0.36
3,0.01,0.5,8,0.8,0.5,0.5,0,499,0,0.695,0.6497,0.7471,0.9231,0.35
