variable,Gain,Cover,Frequency,rank_gain,gain_norm,gain_cumul
menores_por_ocupado,0.1112774439842139,0.01035888319627318,0.009953395472703063,1,0.11127744398421387,0.11127744398421387
horas_prom,0.07623600291902684,0.0540257111633236,0.039314247669773636,2,0.07623600291902682,0.18751344690324068
prop_contributivo,0.06885844447897053,0.01941760323282611,0.02203728362183755,3,0.06885844447897052,0.25637189138221117
subsidiado_x_menores,0.06562444272153174,0.01847815510951894,0.017210386151797603,4,0.06562444272153173,0.3219963341037429
arriendo_estimado,0.056461289075050165,0.06370779366006579,0.028462050599201066,5,0.05646128907505015,0.37845762317879306
prop_cotiza_pension,0.05360508555733598,0.009231321581669031,0.0037616511318242342,6,0.053605085557335966,0.432062708736129
indice_formalidad,0.04030201659341985,0.021161520632583745,0.015512649800266311,7,0.040302016593419844,0.4723647253295489
prop_microempresa,0.036343612033614955,0.015390315359092615,0.010386151797603195,8,0.03634361203361495,0.5087083373631638
tasa_empleo_total,0.03147745122458392,0.016205541491975586,0.016344873501997335,9,0.03147745122458391,0.5401857885877477
hacinamiento,0.024690768104716976,0.010827573743368612,0.020972037283621837,10,0.02469076810471697,0.5648765566924646
prop_subsidiado,0.018314221246880435,0.007226029734325372,0.016078561917443408,11,0.01831422124688043,0.583190777939345
valor_alojamiento,0.01811643144490339,0.03660766515621468,0.02343541944074567,12,0.018116431444903387,0.6013072093842484
educ_x_formal,0.018101585766302886,0.009301667934626,0.008954727030625833,13,0.018101585766302882,0.6194087951505513
tipo_tenencia,0.016800158622269728,0.028229796827148358,0.011651131824234355,14,0.016800158622269724,0.6362089537728209
nivel_educ_prom,0.01590328685664247,0.014457132917794257,0.02729693741677763,15,0.015903286856642468,0.6521122406294634
menores_x_desocup,0.013640730028509532,0.012373658001078336,0.012117177097203728,16,0.013640730028509528,0.6657529706579729
antiguedad_prom,0.013346011251952176,0.03145449512903403,0.03778295605858855,17,0.013346011251952172,0.6790989819099251
educ_x_ocup,0.012754943740449763,0.00820476386838397,0.018009320905459387,18,0.01275494374044976,0.6918539256503748
ciudad,0.01128152591077417,0.03328341725563817,0.03561917443408788,19,0.011281525910774168,0.703135451561149
prop_asalariado,0.011172502087455587,0.008887760118578752,0.009320905459387484,20,0.011172502087455585,0.7143079536486046
cuartos_pc,0.010956413031680332,0.008071597363127453,0.014980026631158456,21,0.01095641303168033,0.7252643666802849
edad_prom,0.01072054734308219,0.019660923934364798,0.04377496671105193,22,0.010720547343082188,0.7359849140233671
