max_depth,eta,gamma,min_child_weight,colsample_bytree,colsample_bylevel,subsample,lambda,alpha,best_nrounds,nrounds_sd,F1_OOF,Precision,Recall,AUC_ROC,Threshold
6,0.08,0.5,1,0.8,0.5,0.8,10,2,490,7.6,0.7388,0.6991,0.7833,0.9434,0.37
5,0.08,1,15,0.7,0.7,0.7,1,0.5,495,3.3,0.7379,0.7033,0.7761,0.9428,0.38
6,0.1,1,3,0.3,1,0.9,2,2,404,41.1,0.7375,0.6986,0.7811,0.9431,0.37
4,0.1,2,8,0.8,1,0.9,5,0.1,497,2.4,0.7372,0.6904,0.7908,0.9425,0.36
4,0.08,2,1,1,0.5,0.7,10,0,498,1,0.7372,0.6967,0.7827,0.9421,0.37
5,0.15,3,10,0.5,1,0.6,10,1,389,14,0.7362,0.6975,0.7796,0.9423,0.37
6,0.08,0.5,5,0.3,0.5,0.7,1,0,493,5.6,0.7361,0.7073,0.7672,0.9428,0.39
4,0.1,3,10,0.3,0.7,0.6,5,1,499,0.5,0.735,0.6895,0.787,0.9412,0.36
3,0.15,1,15,0.4,0.7,0.8,5,1,499,1.3,0.7347,0.701,0.7717,0.9411,0.38
5,0.03,5,10,1,0.7,0.6,1,0.05,499,0,0.7342,0.6921,0.7818,0.9407,0.37
6,0.03,5,10,0.3,0.7,0.8,1,0,499,0,0.734,0.6872,0.7877,0.9407,0.36
6,0.2,0.5,5,0.3,0.7,0.6,1,0.5,171,10,0.7334,0.7058,0.7632,0.9411,0.39
5,0.03,5,1,0.8,0.7,0.9,5,2,499,0,0.7328,0.7025,0.7657,0.9403,0.39
3,0.15,5,1,1,0.5,0.6,1,0.1,497,1.8,0.7328,0.6975,0.7719,0.9405,0.38
3,0.08,1,15,0.7,0.7,0.7,1,2,499,0,0.7324,0.6806,0.7928,0.9399,0.35
4,0.15,5,3,0.4,1,0.9,5,1,489,83.7,0.7323,0.6913,0.7786,0.9404,0.37
3,0.2,5,5,0.8,0.7,0.8,10,2,497,49.5,0.7322,0.6925,0.7767,0.9398,0.37
3,0.08,2,10,0.7,0.7,0.6,2,0,499,0,0.7321,0.6854,0.7858,0.9398,0.36
3,0.15,5,15,0.5,0.5,0.8,10,2,499,2.2,0.7309,0.6854,0.7829,0.9391,0.36
5,0.03,0.5,20,0.3,0.5,0.9,10,1,499,0,0.7296,0.6894,0.7748,0.9388,0.37
4,0.03,1,1,1,0.7,0.8,5,0,499,0,0.7288,0.6861,0.777,0.9385,0.37
3,0.05,3,15,0.5,0.7,0.8,1,2,499,0,0.7277,0.6872,0.7732,0.9376,0.37
4,0.03,1,20,0.5,0.7,0.7,10,0.05,499,0,0.7273,0.6789,0.7831,0.9378,0.36
3,0.05,5,8,0.3,0.7,0.6,1,0,499,0,0.7271,0.6866,0.7727,0.9372,0.37
3,0.05,0.5,3,0.4,0.7,0.7,1,0.5,499,0,0.727,0.6929,0.7647,0.9377,0.38
3,0.03,3,20,0.8,0.7,0.6,1,0.05,499,0,0.7215,0.6804,0.768,0.935,0.37
3,0.03,3,8,1,0.7,0.8,2,0,499,0,0.7209,0.6792,0.7681,0.9349,0.37
6,0.01,1,8,0.4,1,0.7,2,0.1,499,0,0.7202,0.6731,0.7743,0.9346,0.36
3,0.03,1,10,0.8,0.7,0.9,5,0.05,499,0,0.7199,0.6917,0.7504,0.9347,0.39
5,0.01,3,1,0.7,1,0.7,1,0.5,499,0,0.7159,0.6737,0.7638,0.9331,0.37
