Feature,Gain,Cover,Frequency
horas_prom,0.11031152166951702,0.04937010072058891,0.0558248070364387
arriendo_estimado,0.08548237647348926,0.0628051234747909,0.04339436366900018
indice_formalidad,0.08355047070001449,0.02248531269718946,0.015257583916711542
menores_por_ocupado,0.07587956243922714,0.016652852559360005,0.013956201759109676
prop_cotiza_pension,0.06944230139617653,0.014146217326061562,0.007404415724286483
prop_contributivo,0.05519155221300208,0.02428602648445283,0.023424878836833602
prop_microempresa,0.045144086875476254,0.013876731976184747,0.010590558248070365
cuartos_pc,0.035844053399750365,0.011279596026007532,0.01584096212529169
n_menores_18,0.03372423093878997,0.008539028376690688,0.007314665230658769
hacinamiento,0.03229072528642989,0.016428874429479236,0.02136061748339616
prop_subsidiado,0.025478349962772786,0.011967814099985234,0.01866810267456471
tasa_empleo_total,0.02477756959688026,0.013506279959188685,0.016379465087057978
tipo_tenencia,0.018086271039907193,0.018555586197600192,0.018398851193681565
prop_asalariado,0.017917295815896527,0.01185779190480035,0.010545683001256507
nivel_educ_prom,0.01789287449481092,0.028939499283752525,0.035316819242505834
valor_alojamiento,0.016043089895376592,0.03056532895737727,0.030111290612098367
antiguedad_prom,0.014278147475252101,0.0429214693442853,0.05214503679770239
zona,0.01277627208360807,0.020397655210238334,0.009154550350026925
edad_prom,0.011965965279768443,0.0296404441014714,0.0498115239633818
formal_estricto,0.010687468285938466,0.007118627207584435,0.005833782085801472
ciudad,0.01050166107471953,0.03940815918201341,0.04079159935379645
edad_jefe,0.009486778895935962,0.02980975241474583,0.04204810626458445
ingresos_activos,0.008818433470601095,0.008028646007866413,0.0032310177705977385
prop_fam_sin_rem,0.008590249490640302,0.017594635714227827,0.00924430084365464
prop_prima_serv,0.008046616640824018,0.011498665474917753,0.011712439418416801
dpto,0.0077018108929237175,0.03185492016155088,0.038143959791778856
prop_menores,0.0070626141867386,0.01217029616051511,0.012609944354693951
num_personas_ug,0.0061822275535536875,0.010037450600191447,0.008795548375516065
hacinamiento_dorm,0.005503699273945606,0.010339308742249234,0.01830910070005385
region_pacifico,0.005487359796658905,0.008191792217544111,0.008436546401005206
tasa_ocupacion,0.005353757641150535,0.009000710000273398,0.012565069107880094
alguno_arriendos,0.005197868540212615,0.00979360404873966,0.0032310177705977385
n_fuentes_no_lab,0.005100339126047596,0.012406919703223322,0.013372823550529527
prop_sub_transp,0.005039225566811329,0.01587999474181841,0.008616047388260635
nivel_educ_jefe,0.004822319018280076,0.005964630593932939,0.012206067133369233
num_personas,0.00462973817717928,0.009514153088167606,0.008930174115957638
prop_cta_propia,0.004571236563887018,0.011963877271958518,0.01332794830371567
alguno_transf_nac,0.004480041554375525,0.012398285242799666,0.008571172141446778
prop_patron,0.004445827303454104,0.013520193722468248,0.005833782085801472
prop_gran_empresa,0.004402217018963287,0.008808394303959997,0.007718542451983486
prop_mujeres,0.004323477679985912,0.016935245845899723,0.02544426494345719
prop_pensionado,0.0040699645472034,0.016896263630096494,0.0025130138215760187
prop_subempleo,0.004041859361461784,0.015367594542729394,0.012879195835577095
prop_afil_salud,0.0037900916758735023,0.008292980743041958,0.010770059235325794
nivel_educ_max,0.003761517883624106,0.005307129352962319,0.008885298869143781
tasa_desempleo,0.0035572310926028626,0.007848835196915588,0.010635433494884222
n_inactivos,0.003288369727224125,0.006029737019880496,0.010725183988511936
prop_2do_empleo,0.0029473469435494924,0.0163361582173302,0.006596661281637049
prop_jornalero,0.002669539476567118,0.010162918462448715,0.003679770238736313
arriendo_pagado,0.002483705871995459,0.010370176397773554,0.007269789983844911
prop_informal,0.0023841103065012368,0.00842473836754536,0.011173936456650511
ratio_depend,0.00234272926433994,0.010596324724694153,0.01548196015078083
alguno_subsidio,0.0021373282256447763,0.0033521380288863475,0.00498115239633818
n_privaciones,0.002107557021760993,0.003698505285612802,0.0063722850475677615
educ_superior_jefe,0.0020368458683984497,0.0033471372071970777,0.0021091366002513015
alguno_agropec,0.002008648803910091,0.0128227255439351,0.002602764315203734
