max_depth,eta,gamma,min_child_weight,colsample_bytree,colsample_bylevel,subsample,lambda,alpha,best_nrounds,nrounds_sd,F1_OOF,Precision,Recall,AUC_ROC,Threshold
6,0.08,0.5,1,0.8,0.5,0.8,10,2,487,17.3,0.7395,0.6883,0.7988,0.9414,0.35
5,0.08,1,15,0.7,0.7,0.7,1,0.5,499,4.1,0.7385,0.6968,0.7855,0.9407,0.37
6,0.1,1,3,0.3,1,0.9,2,2,467,34.5,0.738,0.6932,0.7891,0.9408,0.36
4,0.1,2,8,0.8,1,0.9,5,0.1,499,1.8,0.7376,0.6897,0.7927,0.9399,0.36
4,0.08,2,1,1,0.5,0.7,10,0,499,1.3,0.737,0.6952,0.7842,0.9398,0.37
5,0.15,3,10,0.5,1,0.6,10,1,399,86.9,0.7366,0.6906,0.7892,0.9401,0.36
6,0.08,0.5,5,0.3,0.5,0.7,1,0,496,28.9,0.7363,0.6963,0.7811,0.9403,0.37
4,0.1,3,10,0.3,0.7,0.6,5,1,497,11.1,0.735,0.6945,0.7806,0.9388,0.37
3,0.15,1,15,0.4,0.7,0.8,5,1,499,0.5,0.7349,0.7054,0.7669,0.9389,0.39
6,0.2,0.5,5,0.3,0.7,0.6,1,0.5,179,14,0.7348,0.7009,0.7722,0.939,0.38
6,0.03,5,10,0.3,0.7,0.8,1,0,499,0,0.7345,0.6937,0.7803,0.9383,0.37
3,0.15,5,1,1,0.5,0.6,1,0.1,498,7.8,0.7342,0.6866,0.7888,0.9383,0.36
5,0.03,5,10,1,0.7,0.6,1,0.05,499,0,0.7341,0.6964,0.7763,0.9383,0.38
5,0.03,5,1,0.8,0.7,0.9,5,2,499,0,0.7334,0.6902,0.7823,0.9378,0.37
4,0.15,5,3,0.4,1,0.9,5,1,497,98.2,0.7333,0.6921,0.7797,0.9383,0.37
3,0.08,2,10,0.7,0.7,0.6,2,0,499,1.3,0.7328,0.6919,0.7789,0.9376,0.37
3,0.08,1,15,0.7,0.7,0.7,1,2,499,1.3,0.7322,0.6967,0.7715,0.9375,0.38
3,0.2,5,5,0.8,0.7,0.8,10,2,493,5.5,0.7319,0.6849,0.7857,0.9375,0.36
3,0.15,5,15,0.5,0.5,0.8,10,2,496,9.7,0.7316,0.691,0.7773,0.9367,0.37
5,0.03,0.5,20,0.3,0.5,0.9,10,1,499,0,0.7288,0.6955,0.7654,0.9361,0.38
4,0.03,1,1,1,0.7,0.8,5,0,499,0,0.7286,0.6915,0.77,0.936,0.38
4,0.03,1,20,0.5,0.7,0.7,10,0.05,499,0,0.7275,0.6918,0.767,0.9352,0.38
3,0.05,3,15,0.5,0.7,0.8,1,2,499,0,0.7273,0.68,0.7818,0.9351,0.36
3,0.05,0.5,3,0.4,0.7,0.7,1,0.5,499,0,0.7272,0.6798,0.7817,0.9352,0.36
3,0.05,5,8,0.3,0.7,0.6,1,0,499,0,0.7269,0.6856,0.7735,0.9347,0.37
3,0.03,3,20,0.8,0.7,0.6,1,0.05,499,0,0.7215,0.681,0.7671,0.9324,0.37
3,0.03,3,8,1,0.7,0.8,2,0,499,0,0.7209,0.6734,0.7758,0.9323,0.36
3,0.03,1,10,0.8,0.7,0.9,5,0.05,499,0,0.7203,0.6728,0.775,0.932,0.36
6,0.01,1,8,0.4,1,0.7,2,0.1,499,0,0.7197,0.6739,0.7723,0.9319,0.36
5,0.01,3,1,0.7,1,0.7,1,0.5,499,0,0.7154,0.6734,0.7629,0.9302,0.37
