max_depth,eta,gamma,min_child_weight,colsample_bytree,colsample_bylevel,subsample,lambda,alpha,best_nrounds,nrounds_sd,F1_OOF,Precision,Recall,AUC_ROC,Threshold
6,0.1,1,3,0.3,1,0.9,2,2,491,56.5,0.7362,0.6807,0.8016,0.94,0.33999999999999997
5,0.08,1,15,0.7,0.7,0.7,1,0.5,493,11.5,0.7357,0.6892,0.789,0.9396,0.36
6,0.08,0.5,1,0.8,0.5,0.8,10,2,484,17.7,0.7357,0.6799,0.8015,0.9403,0.33999999999999997
6,0.08,0.5,5,0.3,0.5,0.7,1,0,494,8.5,0.7353,0.7005,0.7737,0.9393,0.38
5,0.15,3,10,0.5,1,0.6,10,1,483,64.2,0.7343,0.7053,0.7658,0.9391,0.39
4,0.1,2,8,0.8,1,0.9,5,0.1,497,22.1,0.7339,0.6983,0.7733,0.939,0.38
4,0.08,2,1,1,0.5,0.7,10,0,499,1.3,0.7339,0.6933,0.7796,0.9387,0.37
4,0.1,3,10,0.3,0.7,0.6,5,1,499,1.3,0.7325,0.6975,0.7711,0.9377,0.38
3,0.15,1,15,0.4,0.7,0.8,5,1,499,0.4,0.7319,0.6915,0.7772,0.9376,0.37
6,0.2,0.5,5,0.3,0.7,0.6,1,0.5,179,33.9,0.7313,0.6967,0.7696,0.9375,0.38
5,0.03,5,10,1,0.7,0.6,1,0.05,499,0,0.7313,0.6888,0.7794,0.9376,0.37
6,0.03,5,10,0.3,0.7,0.8,1,0,499,0.9,0.7311,0.685,0.7839,0.9372,0.36
3,0.15,5,1,1,0.5,0.6,1,0.1,496,2.5,0.7307,0.6849,0.783,0.9371,0.36
5,0.03,5,1,0.8,0.7,0.9,5,2,499,0,0.7306,0.6829,0.7855,0.9371,0.36
3,0.08,1,15,0.7,0.7,0.7,1,2,499,0,0.7305,0.6892,0.777,0.9367,0.37
3,0.08,2,10,0.7,0.7,0.6,2,0,499,0.4,0.7305,0.6906,0.7754,0.9367,0.37
4,0.15,5,3,0.4,1,0.9,5,1,405,109,0.7305,0.6951,0.7697,0.9369,0.38
3,0.2,5,5,0.8,0.7,0.8,10,2,487,8.6,0.7281,0.6708,0.7959,0.9362,0.33999999999999997
3,0.15,5,15,0.5,0.5,0.8,10,2,496,2.9,0.7275,0.6942,0.7641,0.9355,0.38
5,0.03,0.5,20,0.3,0.5,0.9,10,1,499,0,0.7269,0.6866,0.7723,0.9353,0.37
4,0.03,1,1,1,0.7,0.8,5,0,499,0,0.7262,0.6782,0.7815,0.9352,0.36
4,0.03,1,20,0.5,0.7,0.7,10,0.05,499,0,0.7251,0.6909,0.7628,0.9345,0.38
3,0.05,0.5,3,0.4,0.7,0.7,1,0.5,499,0,0.7249,0.6784,0.7783,0.9343,0.36
3,0.05,3,15,0.5,0.7,0.8,1,2,499,0,0.7245,0.6718,0.7862,0.9343,0.35
3,0.05,5,8,0.3,0.7,0.6,1,0,499,0.4,0.7238,0.6834,0.7693,0.9338,0.37
3,0.03,3,20,0.8,0.7,0.6,1,0.05,499,0,0.719,0.6732,0.7716,0.9316,0.36
3,0.03,3,8,1,0.7,0.8,2,0,499,0,0.719,0.6734,0.7711,0.9315,0.36
3,0.03,1,10,0.8,0.7,0.9,5,0.05,499,0,0.7182,0.6727,0.7703,0.9311,0.36
6,0.01,1,8,0.4,1,0.7,2,0.1,499,0,0.7179,0.6805,0.7596,0.9311,0.37
5,0.01,3,1,0.7,1,0.7,1,0.5,499,0,0.714,0.6537,0.7866,0.9296,0.33999999999999997
